00 data
00 Data was recorded 60 times per second
00 Date and Time: 5/7/2019 3:45:09 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):214038.7  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):215017.7 force plate (fx, fy, fz, mx, my, mz):-0.5962143,0.03097916,0.015625,0.004272461,-0.04055786,-0.06102228
01 timestamp(ms):215043.4 force plate (fx, fy, fz, mx, my, mz):-0.272995,-0.2041664,0.01367188,0.0144043,-0.02511597,0.1611457
01 timestamp(ms):215055.6 force plate (fx, fy, fz, mx, my, mz):0.05534363,-0.4510536,0.01660156,0.02612305,-0.009521484,0.02718496
01 timestamp(ms):215065.4 force plate (fx, fy, fz, mx, my, mz):-0.2756271,-0.2149544,0.2045898,0.06811523,0.008239746,-0.1106553
01 timestamp(ms):215085.3 force plate (fx, fy, fz, mx, my, mz):-0.2756271,-0.2149544,0.2045898,0.06811523,0.008239746,-0.1106553
01 timestamp(ms):215105.3 force plate (fx, fy, fz, mx, my, mz):-0.2770081,-0.2156143,-0.1704102,0.06781006,-0.05871582,-0.1106324
01 timestamp(ms):215115.6 force plate (fx, fy, fz, mx, my, mz):-0.2774849,-0.2134743,0.01708984,0.01635742,0.04125977,-0.1103864
01 timestamp(ms):215135.2 force plate (fx, fy, fz, mx, my, mz):-0.2758484,0.2772102,0.01708984,-0.005859375,0.04122925,-0.1117082
01 timestamp(ms):215154.8 force plate (fx, fy, fz, mx, my, mz):0.3824387,-0.2059402,-0.1689453,-0.03588867,-0.02740479,-0.1076713
01 timestamp(ms):215164.9 force plate (fx, fy, fz, mx, my, mz):0.3806839,0.03734589,-0.1694336,0.05657959,-0.02758789,-0.06674814
01 timestamp(ms):215184.9 force plate (fx, fy, fz, mx, my, mz):0.05697632,0.03962326,0.015625,0.00390625,-0.009552002,0.02586317
01 timestamp(ms):215200.7 force plate (fx, fy, fz, mx, my, mz):0.05948639,-0.2078667,0.2045898,0.06762695,0.02407837,-0.01616335
01 timestamp(ms):215220.2 force plate (fx, fy, fz, mx, my, mz):-0.2648773,-0.2046242,0.2016602,-0.03717041,-0.05786133,0.07695436
01 timestamp(ms):215239.7 force plate (fx, fy, fz, mx, my, mz):-0.2636032,0.2849464,0.3896484,-0.006896973,-0.02441406,0.07528353
01 timestamp(ms):215249.7 force plate (fx, fy, fz, mx, my, mz):-0.5980682,0.03245163,-0.1708984,-0.04760742,-0.007537842,-0.06075335
01 timestamp(ms):215270.3 force plate (fx, fy, fz, mx, my, mz):-0.2781372,0.03253555,0.015625,0.004394531,-0.02539063,-0.06862879
01 timestamp(ms):215289.9 force plate (fx, fy, fz, mx, my, mz):-0.267107,0.04079247,0.388916,0.003723145,0.04199219,0.1181231
01 timestamp(ms):215300.1 force plate (fx, fy, fz, mx, my, mz):0.05948639,-0.2078667,0.2045898,0.06762695,0.02407837,-0.01616335
01 timestamp(ms):215319.8 force plate (fx, fy, fz, mx, my, mz):-0.6043282,-0.2136307,-0.3598633,0.01556396,-0.0411377,-0.01808023
01 timestamp(ms):215339.5 force plate (fx, fy, fz, mx, my, mz):-0.2692108,-0.2065353,-0.3598633,0.01507568,-0.02529907,0.07641172
01 timestamp(ms):215355.9 force plate (fx, fy, fz, mx, my, mz):0.05890465,0.2837963,-0.3579102,-0.007080078,0.05661011,-0.01735258
01 timestamp(ms):215366.1 force plate (fx, fy, fz, mx, my, mz):-0.2803612,0.03290176,0.01708984,0.005126953,0.04110718,-0.0687089
01 timestamp(ms):215385.9 force plate (fx, fy, fz, mx, my, mz):0.05522919,0.03784943,-0.1713867,0.05609131,-0.04302979,0.02553701
01 timestamp(ms):215406.3 force plate (fx, fy, fz, mx, my, mz):0.06149292,0.2839317,0.01660156,-0.007080078,-0.009429932,-0.0171361
01 timestamp(ms):215416.7 force plate (fx, fy, fz, mx, my, mz):0.06214523,0.03792191,0.01904297,0.004882813,0.05722046,-0.05889368
01 timestamp(ms):215437 force plate (fx, fy, fz, mx, my, mz):0.04695129,0.03091049,0.2055664,0.05737305,0.02352905,-0.161263
01 timestamp(ms):215457.3 force plate (fx, fy, fz, mx, my, mz):-0.2788677,0.03092003,-0.1713867,0.05627441,0.007629395,-0.06911421
01 timestamp(ms):215468.7 force plate (fx, fy, fz, mx, my, mz):-0.2708607,0.03372002,0.01831055,-0.0993042,0.04141235,-0.1527109
01 timestamp(ms):215482.4 force plate (fx, fy, fz, mx, my, mz):0.05534363,-0.4510536,0.01660156,0.02612305,-0.009521484,0.02718496
01 timestamp(ms):215509 force plate (fx, fy, fz, mx, my, mz):0.05799866,-0.2052727,-0.1708984,-0.03662109,0.02362061,-0.01554537
01 timestamp(ms):215519.4 force plate (fx, fy, fz, mx, my, mz):0.05512238,0.04110336,-0.1708984,-0.04797363,0.02346802,0.02613211
01 timestamp(ms):215539 force plate (fx, fy, fz, mx, my, mz):0.05512238,0.04110336,-0.1708984,-0.04797363,0.02346802,0.02613211
01 timestamp(ms):215548.7 force plate (fx, fy, fz, mx, my, mz):0.0598526,-0.2067528,0.01660156,0.01513672,-0.009399414,-0.0158143
01 timestamp(ms):215569.7 force plate (fx, fy, fz, mx, my, mz):0.05512238,0.04110336,-0.1708984,-0.04797363,0.02346802,0.02613211
01 timestamp(ms):215590.1 force plate (fx, fy, fz, mx, my, mz):0.06149292,0.2839317,0.01660156,-0.007080078,-0.009429932,-0.0171361
01 timestamp(ms):215600.6 force plate (fx, fy, fz, mx, my, mz):-0.2781372,0.03253555,0.015625,0.004394531,-0.02539063,-0.06862879
01 timestamp(ms):215620.9 force plate (fx, fy, fz, mx, my, mz):0.05060959,-0.2031975,-0.1708984,-0.0369873,0.02334595,0.06913137
01 timestamp(ms):215631.3 force plate (fx, fy, fz, mx, my, mz):-0.279995,0.03401566,-0.1708984,-0.04736328,0.007629395,-0.06835985
01 timestamp(ms):215651.5 force plate (fx, fy, fz, mx, my, mz):-0.2788677,0.03092003,-0.1713867,0.05627441,0.007629395,-0.06911421
01 timestamp(ms):215667.8 force plate (fx, fy, fz, mx, my, mz):-0.2781372,0.03253555,0.015625,0.004394531,-0.02539063,-0.06862879
01 timestamp(ms):215688.5 force plate (fx, fy, fz, mx, my, mz):-0.2781372,0.03253555,0.015625,0.004394531,-0.02539063,-0.06862879
01 timestamp(ms):215698.5 force plate (fx, fy, fz, mx, my, mz):0.06400299,0.0364418,0.2055664,0.05664063,0.02420044,-0.05916262
01 timestamp(ms):215718.5 force plate (fx, fy, fz, mx, my, mz):0.05661011,0.03850937,0.2036133,0.05639648,0.02392578,0.02551413
01 timestamp(ms):215738.6 force plate (fx, fy, fz, mx, my, mz):0.3865738,-0.1977386,0.01660156,0.01477051,-0.06030273,0.1635118
01 timestamp(ms):215748.8 force plate (fx, fy, fz, mx, my, mz):0.06473541,0.03805923,0.3925781,0.004821777,-0.00881958,-0.0586772
01 timestamp(ms):215775.6 force plate (fx, fy, fz, mx, my, mz):0.06262207,0.03578186,-0.1694336,0.05633545,-0.04275513,-0.05913973
01 timestamp(ms):215786 force plate (fx, fy, fz, mx, my, mz):-0.2752609,-0.2138405,0.01660156,0.015625,-0.02523804,-0.1103063
01 timestamp(ms):215806.7 force plate (fx, fy, fz, mx, my, mz):0.06058502,-0.2051353,0.2036133,-0.03668213,-0.04241943,-0.01532888
01 timestamp(ms):215823.2 force plate (fx, fy, fz, mx, my, mz):-0.270752,0.03046799,0.01757813,0.004638672,-0.02511597,-0.1533055
01 timestamp(ms):215833.3 force plate (fx, fy, fz, mx, my, mz):0.3898239,0.03705215,0.01953125,0.004638672,0.006195068,-0.1510987
01 timestamp(ms):215852.9 force plate (fx, fy, fz, mx, my, mz):0.06400299,0.0364418,0.2055664,0.05664063,0.02420044,-0.05916262
01 timestamp(ms):215873.4 force plate (fx, fy, fz, mx, my, mz):-0.2736282,0.276844,0.01660156,-0.006591797,-0.02526855,-0.1116281
01 timestamp(ms):215884.9 force plate (fx, fy, fz, mx, my, mz):0.0598526,-0.2067528,0.01660156,0.01513672,-0.009399414,-0.0158143
01 timestamp(ms):215904.8 force plate (fx, fy, fz, mx, my, mz):0.06058502,-0.2051353,0.2036133,-0.03668213,-0.04241943,-0.01532888
01 timestamp(ms):215915 force plate (fx, fy, fz, mx, my, mz):-0.2817421,0.03224182,-0.3579102,0.004821777,-0.02584839,-0.06868601
01 timestamp(ms):215934.6 force plate (fx, fy, fz, mx, my, mz):0.06058502,-0.2051353,0.2036133,-0.03668213,-0.04241943,-0.01532888
01 timestamp(ms):215954.2 force plate (fx, fy, fz, mx, my, mz):0.05697632,0.03962326,0.015625,0.00390625,-0.009552002,0.02586317
01 timestamp(ms):215964.5 force plate (fx, fy, fz, mx, my, mz):-0.2781372,0.03253555,0.015625,0.004394531,-0.02539063,-0.06862879
01 timestamp(ms):215990.2 force plate (fx, fy, fz, mx, my, mz):0.05697632,0.03962326,0.015625,0.00390625,-0.009552002,0.02586317
01 timestamp(ms):216000.3 force plate (fx, fy, fz, mx, my, mz):0.05875587,-0.2094822,0.01757813,0.1195068,0.05709839,-0.01664877
01 timestamp(ms):216019.6 force plate (fx, fy, fz, mx, my, mz):0.05763245,-0.2063866,0.01708984,0.01586914,0.05709839,-0.01589441
01 timestamp(ms):216039.3 force plate (fx, fy, fz, mx, my, mz):-0.2745285,-0.2122231,0.2036133,-0.03619385,-0.05825806,-0.1098208
01 timestamp(ms):216049.1 force plate (fx, fy, fz, mx, my, mz):0.05512238,0.04110336,-0.1708984,-0.04797363,0.02346802,0.02613211
01 timestamp(ms):216068.8 force plate (fx, fy, fz, mx, my, mz):0.05799866,-0.2052727,-0.1708984,-0.03662109,0.02362061,-0.01554537
